"1" "id" "timestamp" "is_buy" "stockid" "price" "amount" "is_real"
"196" "1792" "2015-01-06 09:43:16" "0" "sh600597" "18.22" "1100" "1"
"197" "1817" "2015-01-07 10:20:30" "1" "sh600597" "18.13" "1100" "1"
"198" "1811" "2015-01-07 09:34:15" "0" "sh600633" "18.91" "1100" "1"
"199" "1832" "2015-01-08 09:34:49" "1" "sh600633" "18.5136" "1100" "1"
"200" "1867" "2015-01-12 09:47:09" "0" "sh600633" "18.35" "1100" "1"
"201" "1889" "2015-01-13 09:42:50" "1" "sh600633" "18.2" "1100" "1"
"202" "678" "2014-10-13 09:43:54" "0" "sh600639" "13.0413" "1500" "1"
"203" "701" "2014-10-14 14:55:03" "1" "sh600639" "12.92" "1500" "1"
"204" "933" "2014-11-07 11:08:18" "0" "sh600639" "13.42" "1500" "1"
"205" "944" "2014-11-10 09:35:13" "1" "sh600639" "13.1" "1500" "1"
"206" "949" "2014-11-10 10:26:13" "0" "sh600639" "13.23" "1500" "1"
"207" "968" "2014-11-11 10:27:15" "1" "sh600639" "13.21" "1500" "1"
"208" "967" "2014-11-11 09:33:11" "0" "sh600639" "13.41" "1500" "1"
"209" "968" "2014-11-11 10:27:15" "1" "sh600639" "13.21" "1500" "1"
"210" "982" "2014-11-12 09:43:40" "0" "sh600639" "12.9" "1600" "1"
"211" "1004" "2014-11-13 09:30:19" "1" "sh600639" "14.67" "1600" "1"
"212" "1080" "2014-11-18 10:05:02" "0" "sh600639" "14.74" "1400" "1"
"213" "1099" "2014-11-19 09:35:24" "1" "sh600639" "14.3843" "1400" "1"
"214" "1130" "2014-11-21 09:55:57" "0" "sh600639" "14.53" "1400" "1"
"215" "1149" "2014-11-24 09:30:26" "1" "sh600639" "15.1357" "1400" "1"
"216" "1482" "2014-12-15 09:44:07" "0" "sh600639" "16.9833" "1200" "1"
"217" "1508" "2014-12-16 09:31:21" "1" "sh600639" "17.65" "1200" "1"
"218" "1562" "2014-12-19 09:58:12" "0" "sh600639" "20.3" "1000" "1"
"219" "1577" "2014-12-22 09:41:35" "1" "sh600639" "21.99" "1000" "1"
"220" "1786" "2015-01-06 09:47:12" "0" "sh600639" "23" "900" "1"
"221" "1815" "2015-01-07 09:38:38" "1" "sh600639" "22.9244" "900" "1"
"222" "2067" "2015-01-22 09:30:22" "0" "sh600648" "31.49" "600" "1"
"223" "2085" "2015-01-23 10:31:35" "1" "sh600648" "31.4517" "600" "1"
"224" "471" "2014-09-05 10:18:59" "0" "sh600663" "17.88" "1100" "1"
"225" "498" "2014-09-10 14:43:33" "1" "sh600663" "17.7036" "1100" "1"
"226" "546" "2014-09-16 09:38:16" "0" "sh600663" "18.29" "1100" "1"
"227" "556" "2014-09-17 09:38:43" "1" "sh600663" "18.13" "1100" "1"
"228" "1025" "2014-11-14 10:00:12" "0" "sh600663" "27.6" "700" "1"
"229" "1055" "2014-11-17 09:31:11" "1" "sh600663" "26.97" "700" "1"
"230" "1166" "2014-11-25 09:40:01" "0" "sh600663" "32.34" "300" "1"
"231" "1193" "2014-11-26 09:33:57" "1" "sh600663" "33.09" "300" "1"
"232" "1238" "2014-11-28 09:54:55" "0" "sh600663" "33.57" "600" "1"
"233" "1291" "2014-12-03 10:16:22" "1" "sh600663" "30.61" "700" "1"
"234" "1267" "2014-12-02 09:36:55" "0" "sh600663" "30.62" "700" "1"
"235" "1291" "2014-12-03 10:16:22" "1" "sh600663" "30.61" "700" "1"
"236" "1290" "2014-12-03 09:48:58" "0" "sh600663" "31.75" "600" "1"
"237" "1291" "2014-12-03 10:16:22" "1" "sh600663" "30.61" "700" "1"
"238" "1341" "2014-12-08 10:57:53" "0" "sh600663" "31.98" "600" "1"
"239" "1361" "2014-12-09 09:34:00" "1" "sh600663" "31.65" "600" "1"
"240" "1509" "2014-12-16 10:09:54" "0" "sh600663" "35.41" "600" "1"
"241" "1529" "2014-12-17 09:56:41" "1" "sh600663" "36.72" "600" "1"
"242" "1525" "2014-12-17 09:30:54" "0" "sh600663" "35.73" "600" "1"
"243" "1529" "2014-12-17 09:56:41" "1" "sh600663" "36.72" "600" "1"
"244" "1540" "2014-12-18 10:26:38" "0" "sh600663" "36.13" "600" "1"
"245" "1561" "2014-12-19 09:31:22" "1" "sh600663" "35.76" "600" "1"
"246" "1698" "2014-12-26 09:30:13" "0" "sh600663" "35.1692" "1200" "1"
"247" "1706" "2014-12-29 09:38:15" "1" "sh600663" "39.99" "1200" "1"
"248" "1729" "2014-12-31 09:47:19" "0" "sh600663" "36.18" "600" "1"
"249" "1757" "2015-01-05 14:55:02" "1" "sh600663" "37.5" "600" "1"
"250" "1933" "2015-01-15 09:35:11" "0" "sh600663" "34.2" "600" "1"
"251" "1953" "2015-01-16 10:52:37" "1" "sh600663" "34.79" "600" "1"
"252" "1952" "2015-01-16 09:36:00" "0" "sh600663" "34.89" "600" "1"
"253" "1953" "2015-01-16 10:52:37" "1" "sh600663" "34.79" "600" "1"
"254" "510" "2014-09-11 10:03:42" "0" "sh600756" "27.3" "700" "1"
"255" "520" "2014-09-12 11:25:23" "1" "sh600756" "27.29" "700" "1"
"256" "679" "2014-10-13 11:09:24" "0" "sh600756" "25.8" "800" "1"
"257" "708" "2014-10-14 09:56:05" "1" "sh600756" "26.11" "800" "1"
"258" "710" "2014-10-14 11:19:33" "0" "sh600756" "25.94" "800" "1"
"259" "724" "2014-10-15 09:32:06" "1" "sh600756" "25.72" "800" "1"
"260" "765" "2014-10-17 09:53:53" "0" "sh600756" "25.06" "800" "1"
"261" "781" "2014-10-20 09:40:29" "1" "sh600756" "25.2038" "800" "1"
"262" "780" "2014-10-20 09:31:52" "0" "sh600756" "24.915" "800" "1"
"263" "781" "2014-10-20 09:40:29" "1" "sh600756" "25.2038" "800" "1"
"264" "829" "2014-10-23 10:38:37" "0" "sh600756" "24.62" "800" "1"
"265" "846" "2014-10-24 11:29:04" "1" "sh600756" "24.3738" "800" "1"
"266" "360" "2014-08-20 10:14:07" "0" "sh600789" "6.73" "3000" "1"
"267" "368" "2014-08-21 09:35:04" "1" "sh600789" "6.56" "3000" "1"
"268" "427" "2014-09-02 09:33:03" "0" "sh600789" "6.3" "3200" "1"
"269" "446" "2014-09-03 10:05:56" "1" "sh600789" "6.54" "3200" "1"
"270" "507" "2014-09-11 09:40:49" "0" "sh600789" "6.68" "3000" "1"
"271" "522" "2014-09-12 09:31:21" "1" "sh600789" "6.58" "3000" "1"
"272" "627" "2014-09-25 09:34:49" "0" "sh600789" "7.29" "2700" "1"
"273" "639" "2014-09-26 09:35:01" "1" "sh600789" "7.12" "2700" "1"
"274" "870" "2014-10-30 09:39:11" "0" "sh600789" "9.99" "2000" "1"
"275" "880" "2014-10-31 09:35:14" "1" "sh600789" "9.55" "2000" "1"
"276" "1606" "2014-12-23 10:07:51" "0" "sh600789" "8.26" "2400" "1"
"277" "1651" "2014-12-24 09:33:12" "1" "sh600789" "8.17" "2400" "1"
"278" "222" "2014-07-31 10:43:38" "0" "sh600809" "16.01" "1300" "1"
"279" "228" "2014-08-01 14:55:01" "1" "sh600809" "15.86" "1300" "1"
"280" "301" "2014-08-13 09:46:02" "0" "sh600809" "16.13" "1200" "1"
"281" "305" "2014-08-14 14:55:02" "1" "sh600809" "15.9746" "1200" "1"
"282" "356" "2014-08-20 10:09:23" "0" "sh600809" "16.33" "1200" "1"
"283" "367" "2014-08-21 14:55:02" "1" "sh600809" "16.16" "1200" "1"
"284" "398" "2014-08-28 10:16:08" "0" "sh600809" "15.55" "1300" "1"
"285" "402" "2014-08-29 10:30:23" "1" "sh600809" "15.82" "1300" "1"
"286" "1816" "2015-01-07 09:53:16" "0" "sh600809" "25.56" "800" "1"
"287" "1830" "2015-01-08 13:09:38" "1" "sh600809" "24.865" "800" "1"
"288" "2151" "2015-01-28 09:42:59" "0" "sh600837" "21.19" "900" "1"
"289" "2167" "2015-01-29 14:53:02" "1" "sh600837" "20.14" "900" "1"
"290" "2101" "2015-01-26 09:33:29" "0" "sh600875" "22.36" "900" "1"
"291" "2129" "2015-01-27 09:54:39" "1" "sh600875" "23.51" "900" "1"
"292" "1309" "2014-12-04 09:52:09" "0" "sh600879" "14.46" "1400" "1"
"293" "1331" "2014-12-05 09:35:10" "1" "sh600879" "15.39" "1400" "1"
"294" "1793" "2015-01-06 10:06:02" "0" "sh600879" "15.77" "1300" "1"
"295" "1810" "2015-01-07 14:55:03" "1" "sh600879" "15.78" "1300" "1"
"296" "1972" "2015-01-19 09:47:39" "0" "sh600879" "14.83" "1300" "1"
"297" "2002" "2015-01-20 09:35:29" "1" "sh600879" "14.4692" "1300" "1"
"298" "483" "2014-09-09 09:30:15" "0" "sh600880" "12.64" "1600" "1"
"299" "581" "2014-09-22 14:55:02" "1" "sh600880" "12.54" "1600" "1"
"300" "1101" "2014-11-19 09:32:17" "0" "sh600880" "11.49" "1700" "1"
"301" "1116" "2014-11-20 09:35:35" "1" "sh600880" "11.43" "1700" "1"
"302" "1237" "2014-11-28 11:24:52" "0" "sh600880" "11.95" "1700" "1"
"303" "1686" "2014-12-25 14:55:02" "1" "sh600880" "11.33" "1800" "1"
"304" "1640" "2014-12-24 09:51:02" "0" "sh600880" "11.3583" "1800" "1"
"305" "1686" "2014-12-25 14:55:02" "1" "sh600880" "11.33" "1800" "1"
"306" "1976" "2015-01-19 09:33:00" "0" "sh600880" "11.2" "1800" "1"
"307" "2007" "2015-01-20 09:32:59" "1" "sh600880" "11.47" "1800" "1"
"308" "2064" "2015-01-22 09:40:46" "0" "sh600880" "12.08" "1700" "1"
"309" "2080" "2015-01-23 09:31:22" "1" "sh600880" "12.04" "1700" "1"
"310" "789" "2014-10-20 10:07:12" "0" "sh600884" "18.2" "1100" "1"
"311" "804" "2014-10-21 10:06:12" "1" "sh600884" "18.1964" "1100" "1"
"312" "825" "2014-10-23 09:46:03" "0" "sh600884" "17.93" "1100" "1"
"313" "845" "2014-10-24 14:55:03" "1" "sh600884" "18.05" "1100" "1"
"314" "844" "2014-10-24 10:45:47" "0" "sh600884" "18.2327" "1100" "1"
"315" "845" "2014-10-24 14:55:03" "1" "sh600884" "18.05" "1100" "1"
"316" "1058" "2014-11-17 10:08:08" "0" "sh600884" "17.18" "1200" "1"
"317" "1075" "2014-11-18 09:43:59" "1" "sh600884" "17.19" "1200" "1"
"318" "444" "2014-09-03 09:46:10" "0" "sh600887" "26.57" "800" "1"
"319" "460" "2014-09-04 14:55:02" "1" "sh600887" "27.08" "800" "1"
"320" "1845" "2015-01-09 10:17:26" "0" "sh600887" "28.67" "700" "1"
"321" "1869" "2015-01-12 09:35:45" "1" "sh600887" "28.2" "700" "1"
"322" "1217" "2014-11-27 09:35:41" "0" "sh600999" "17.4355" "1100" "1"
"323" "1235" "2014-11-28 14:55:02" "1" "sh600999" "18.22" "1100" "1"
"324" "1234" "2014-11-28 09:31:52" "0" "sh600999" "18.4" "1100" "1"
"325" "1235" "2014-11-28 14:55:02" "1" "sh600999" "18.22" "1100" "1"
"326" "1846" "2015-01-09 10:15:13" "0" "sh601168" "9.48" "2100" "1"
"327" "1866" "2015-01-12 10:28:46" "1" "sh601168" "9.01" "2100" "1"
"328" "960" "2014-11-11 09:31:50" "0" "sh601377" "8.38" "2400" "1"
"329" "986" "2014-11-12 09:37:47" "1" "sh601377" "8.32" "2400" "1"
